REF_DATE,GEO,DGUID,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2017-11-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.04,,,,2
2017-12-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.07,,,,2
2018-01-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.14,,,,2
2018-02-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.26,,,,2
2018-03-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.27,,,,2
2018-04-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.27,,,,2
2018-05-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.35,,,,2
2018-06-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.32,,,,2
2018-07-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.42,,,,2
2018-08-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.43,,,,2
2018-09-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.43,,,,2
2018-10-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.48,,,,2
2018-11-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.38,,,,2
2018-12-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.59,,,,2
2019-01-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.59,,,,2
2019-02-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.52,,,,2
2019-03-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.44,,,,2
2019-04-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.33,,,,2
2019-05-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.3,,,,2
2019-06-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.23,,,,2
2019-07-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.14,,,,2
2019-08-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.08,,,,2
2019-09-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.07,,,,2
2019-10-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.09,,,,2
2019-11-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.09,,,,2
2019-12-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.08,,,,2
2020-01-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.08,,,,2
2020-02-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.08,,,,2
2020-03-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.9,,,,2
2020-04-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.95,,,,2
2020-05-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.86,,,,2
2020-06-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.77,,,,2
2020-07-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.64,,,,2
2020-08-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.57,,,,2
2020-09-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.51,,,,2
2020-10-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.45,,,,2
2020-11-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.42,,,,2
2020-12-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.34,,,,2
2021-01-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.3,,,,2
2021-02-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.25,,,,2
2021-03-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.26,,,,2
2021-04-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.25,,,,2
2021-05-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.25,,,,2
2021-06-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.26,,,,2
2021-07-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.2,,,,2
2021-08-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.2,,,,2
2021-09-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.22,,,,2
2021-10-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.29,,,,2
2021-11-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.4,,,,2
2021-12-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.45,,,,2
2022-01-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.44,,,,2
2022-02-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.58,,,,2
2022-03-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.77,,,,2
2022-04-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.19,,,,2
2022-05-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.63,,,,2
2022-06-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.05,,,,2
2022-07-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.51,,,,2
2022-08-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.58,,,,2
2022-09-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.64,,,,2
2022-10-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.75,,,,2
2022-11-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.88,,,,2
2022-12-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.89,,,,2
2023-01-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.86,,,,2
2023-02-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.81,,,,2
2023-03-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.81,,,,2
2023-04-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.75,,,,2
2023-05-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.74,,,,2
2023-06-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.85,,,,2
2023-07-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.99,,,,2
2023-08-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.17,,,,2
2023-09-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.27,,,,2
2023-10-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.42,,,,2
2023-11-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.47,,,,2
2023-12-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.39,,,,2
2024-01-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.31,,,,2
2024-02-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.15,,,,2
2024-03-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.13,,,,2
2024-04-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.08,,,,2
2024-05-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.05,,,,2
2024-06-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.98,,,,2
2024-07-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.91,,,,2
2024-08-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.73,,,,2
2024-09-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.55,,,,2
2024-10-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.44,,,,2
2024-11-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.38,,,,2
2024-12-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.35,,,,2
