REF_DATE,GEO,DGUID,New housing price indexes,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2006-12-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,82.0,,,,1
2006-12-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,80.7,,,,1
2006-12-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,85.3,E,,,1
2007-01-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,82.3,,,,1
2007-01-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,81.0,,,,1
2007-01-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,85.5,E,,,1
2007-02-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,82.7,,,,1
2007-02-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,81.4,,,,1
2007-02-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,85.8,E,,,1
2007-03-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,83.0,,,,1
2007-03-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,81.7,,,,1
2007-03-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,86.2,E,,,1
2007-04-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,83.7,,,,1
2007-04-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,82.3,,,,1
2007-04-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,87.1,E,,,1
2007-05-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,84.6,,,,1
2007-05-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,83.3,,,,1
2007-05-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,87.7,E,,,1
2007-06-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,85.1,,,,1
2007-06-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,83.7,,,,1
2007-06-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,88.5,E,,,1
2007-07-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,85.9,,,,1
2007-07-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,84.3,,,,1
2007-07-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,89.7,E,,,1
2007-08-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,86.3,,,,1
2007-08-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,84.8,,,,1
2007-08-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,89.9,E,,,1
2007-09-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,86.5,,,,1
2007-09-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,85.1,,,,1
2007-09-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,90.0,E,,,1
2007-10-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,86.6,,,,1
2007-10-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,85.1,,,,1
2007-10-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,90.3,E,,,1
2007-11-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,87.0,,,,1
2007-11-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,85.5,,,,1
2007-11-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,90.7,E,,,1
2007-12-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,87.1,,,,1
2007-12-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,85.6,,,,1
2007-12-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,90.9,E,,,1
2008-01-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,87.6,,,,1
2008-01-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,86.1,,,,1
2008-01-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,91.4,E,,,1
2008-02-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,87.9,,,,1
2008-02-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,86.3,,,,1
2008-02-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,91.8,E,,,1
2008-03-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,88.1,,,,1
2008-03-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,86.4,,,,1
